provinsi;2020;2019;2018;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
ACEH;3165031;2916810;2700000;2118500;1900000;1750000;1550000;1400000;1350000;1300000;1200000;1000000;850000;820000;620000;550000;425000;330000;300000;265000
SUMATERA UTARA;2499423;2303403;2132189;1811875;1625000;1505850;1375000;1200000;1035500;965000;905000;822205;761000;737794;600000;537000;505000;464000;340500;254000
SUMATERA BARAT;2484041;2289220;2119067;1800725;1615000;1490000;1350000;1150000;1055000;940000;880000;800000;725000;650000;540000;480000;435000;385000;250000;200000
RIAU;2888564;2662026;2464154;2095000;1878000;1700000;1400000;1238000;1120000;1016000;901600;800000;710000;637000;551500;476900;437500;394000;329000;250700
JAMBI;2630162;2423889;2243719;1906650;1710000;1502300;1300000;1142500;1028000;900000;800000;724000;658000;563000;485000;425000;390000;304000;245000;173000
SUMATERA SELATAN;3043111;2804453;2595995;2206000;1974346;1825000;1630000;1195220;1048440;927825;824730;743000;662000;604000;503700;460000;403500;331500;255000;190000
BENGKULU;2213604;2040407;1888741;1605000;1500000;1350000;1200000;930000;815000;780000;735000;690000;644838;516000;430000;363000;330000;295000;240000;173000
LAMPUNG;2432002;2241270;2074673;1763000;1581000;1399037;1150000;975000;855000;767500;691000;617000;555000;505000;405000;377500;350000;310000;240000;192000
KEP. BANGKA BELITUNG;3230024;2976706;2755444;2341500;2100000;1640000;1265000;1110000;1024000;910000;850000;813000;720000;640000;560000;447900;379500;345000;255000;190000
KEP. RIAU;3005460;2769754;2563875;2178710;1954000;1665000;1365087;1015000;975000;925000;892000;833000;805000;760000;557000;-;-;-;421500;300000
DKI JAKARTA;4276350;3940973;3648036;3100000;2700000;2441000;2200000;1529150;1290000;1118009;1069865;972604;900560;819100;711843;671600;631600;591300;426300;286000
JAWA BARAT;1810351;1668373;1544361;2250000;1000000;1000000;850000;780000;732000;671500;628191;568193;516840;447654;408260;366500;320000;280800;245000;230000
JAWA TENGAH;1742015;1605396;1486065;-;910000;910000;830000;765000;675000;660000;575000;547000;500000;450000;390000;365000;340400;314500;245000;185000
DI YOGYAKARTA;1704608;1570923;1454154;-;988500;988500;947114;892660;808000;745694;700000;586000;500000;460000;400000;365000;360000;321800;237500;194500
JAWA TIMUR;1768777;1630059;1508895;-;1000000;1000000;866250;745000;705000;630000;570000;500000;448500;390000;340000;310000;274000;245000;220000;214500
BANTEN;2460997;2267990;2099385;1784000;1600000;1325000;1170000;1042000;1000000;955300;917500;837000;746500;661613;585000;515000;475000;360000;245000;230000
BALI;2494000;2297969;2127157;1807600;1621172;1542600;1181000;967500;890000;829316;760000;682650;622000;510000;447500;425000;410000;341000;309800;214000
NUSA TENGGARA BARAT;2183883;2012610;1825000;1482950;1330000;1210000;1100000;1000000;950000;890775;832500;730000;645000;550000;475000;412500;375000;320000;240000;180000
NUSA TENGGARA TIMUR;1950000;1795000;1660000;1425000;1250000;1150000;1010000;925000;850000;800000;725000;650000;600000;550000;450000;400000;350000;330000;275000;184000
KALIMANTAN BARAT;2399699;2211500;2046900;1739400;1560000;1380000;1060000;900000;802500;741000;705000;645000;560000;512000;445200;420000;400000;380000;304500;228000
KALIMANTAN TENGAH;2903145;2663435;2421305;2057558;1896367;1723970;1553127;1327459;1134580;986590;873089;765868;665973;634260;523698;482300;425000;362000;362000;285000
KALIMANTAN SELATAN;2877449;2651782;2454671;2085050;1870000;1620000;1337500;1225000;1126000;1024500;930000;825000;745000;629000;536300;482200;425000;377500;295000;200000
KALIMANTAN TIMUR;2981379;2747561;2543332;2161253;2026126;1886315;1752073;1177000;1084000;1002000;955000;889654;766500;701640;600000;572700;540000;500000;300000;233000
KALIMANTAN UTARA;3000804;2765463;2559903;2175340;2026126;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SULAWESI UTARA;3310723;3051076;2824286;2400000;2150000;1900000;1550000;1250000;1050000;1000000;929500;845000;750000;713500;600000;545000;495000;438000;372000;186000
SULAWESI TENGAH;2303711;2123040;1965232;1670000;1500000;1250000;995000;885000;827500;777500;720000;670000;615000;575000;490000;450000;410000;350000;245000;203000
SULAWESI SELATAN;3103800;2860382;2647767;2250000;2000000;1800000;1440000;1200000;1100000;1000000;905000;740520;673200;612000;510000;455000;415000;375000;300000;200000
SULAWESI TENGGARA;2552015;2351870;2177052;1850000;1652000;1400000;1125207;1032300;930000;860000;770000;700000;640000;573400;498600;470000;390000;325000;275000;210000
GORONTALO;2788826;2384020;2206813;1875000;1600000;1325000;1175000;837500;762500;710000;675000;600000;560000;527000;435000;430000;410000;375000;372000;186000
SULAWESI BARAT;2678863;2381000;2193530;1864000;1655500;1400000;1165000;1127000;1006000;944200;909400;760500;691464;612000;-;-;-;-;-;-
MALUKU;2604961;2400664;2222220;1775000;1650000;1415000;1275000;975000;900000;840000;775000;700000;635000;575000;500000;450000;370000;285000;230000;180000
MALUKU UTARA;2721530;2508091;2320803;1681266;1577617;1440746;1200622;960498;889350;847000;770000;700000;660000;528000;440000;400000;370000;322000;230000;180000
PAPUA BARAT;3134600;2934500;2667000;2237000;2015000;1870000;1720000;1450000;1410000;1210000;1180000;1105500;987000;822500;-;-;-;-;-;-
PAPUA;3516700;3240900;3000000;2435000;2193000;2040000;1710000;1585000;1403000;1316500;1216100;1105500;987000;822500;700000;650000;600000;530000;400000;315000
